w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15
1.786310099999999920e+03,1.296594299999999976e+03,5.176140000000000327e+02,1.747462700000000041e+03,1.326406500000000051e+03,5.114821000000000026e+02,2.818748500000000149e+03,4.363121199999999590e+03,9.275200999999999567e+02,8.950757999999999583e+02,4.886820999999999913e+02,5.104705000000000155e+02,1.213148899999999912e+03,1.199761299999999892e+03,9.721672999999999547e+02,9.810436999999999443e+02
1.790962299999999914e+03,1.342079600000000028e+03,5.067026000000000181e+02,1.759975899999999911e+03,1.367592699999999923e+03,5.015359000000000265e+02,2.778166000000000167e+03,4.486682999999999993e+03,9.132175999999999476e+02,8.818561999999999443e+02,4.817246999999999844e+02,5.043675000000000068e+02,1.226148500000000013e+03,1.219952500000000100e+03,1.019653699999999958e+03,1.023928300000000036e+03
1.805332200000000057e+03,1.384887199999999893e+03,4.952044000000000210e+02,1.770810799999999972e+03,1.411320799999999963e+03,4.910147000000000048e+02,2.737351500000000215e+03,4.617218600000000151e+03,8.991689999999999827e+02,8.681708999999999605e+02,4.759388000000000147e+02,4.970727999999999724e+02,1.246565000000000055e+03,1.237989399999999932e+03,1.064750999999999976e+03,1.070913199999999961e+03
1.822472099999999955e+03,1.428215300000000070e+03,4.823317999999999870e+02,1.779305000000000064e+03,1.460182199999999966e+03,4.809424000000000206e+02,2.693506699999999910e+03,4.755942100000000210e+03,8.856358999999999924e+02,8.536317000000000235e+02,4.679395999999999844e+02,4.892995000000000232e+02,1.270376999999999953e+03,1.253519600000000082e+03,1.110066700000000083e+03,1.124978800000000092e+03
1.833555000000000064e+03,1.475244500000000016e+03,4.728790999999999940e+02,1.793946799999999939e+03,1.508376800000000003e+03,4.688865000000000123e+02,2.648178199999999833e+03,4.900710500000000138e+03,8.709319000000000415e+02,8.385445999999999458e+02,4.601440999999999804e+02,4.815575999999999794e+02,1.289554900000000089e+03,1.276578099999999949e+03,1.162047700000000077e+03,1.175529800000000023e+03
1.846756900000000087e+03,1.520008499999999913e+03,4.628392000000000053e+02,1.801997499999999945e+03,1.558034499999999980e+03,4.593156000000000176e+02,2.606164200000000164e+03,5.038787999999999556e+03,8.580371000000000095e+02,8.239904999999999973e+02,4.520040000000000191e+02,4.751326000000000249e+02,1.309616600000000062e+03,1.293722299999999905e+03,1.210946899999999914e+03,1.227502199999999903e+03
1.857331400000000031e+03,1.569772200000000112e+03,4.530987999999999829e+02,1.811840999999999894e+03,1.606263699999999972e+03,4.511435999999999922e+02,2.564353099999999813e+03,5.181097600000000057e+03,8.454650000000000318e+02,8.093972999999999729e+02,4.436037999999999784e+02,4.688870000000000005e+02,1.327806299999999965e+03,1.312629300000000057e+03,1.264327299999999923e+03,1.279334700000000112e+03
1.865994400000000041e+03,1.619367799999999988e+03,4.455230999999999995e+02,1.822605199999999968e+03,1.653752600000000029e+03,4.439205999999999790e+02,2.518885900000000220e+03,5.328277799999999843e+03,8.299824999999999591e+02,7.955637000000000398e+02,4.372146999999999935e+02,4.591250000000000000e+02,1.347020099999999957e+03,1.332606899999999996e+03,1.317667999999999893e+03,1.333982799999999997e+03
1.632762699999999995e+03,9.376055000000000064e+02,6.738944000000000187e+02,1.621162499999999909e+03,9.544777000000000271e+02,6.628659000000000106e+02,3.281863199999999779e+03,3.196905499999999847e+03,1.061541999999999916e+03,1.030530400000000100e+03,5.866631999999999607e+02,6.061276000000000295e+02,1.020792800000000057e+03,1.036001099999999951e+03,5.762645999999999731e+02,5.668469999999999800e+02
1.648295399999999972e+03,9.586418999999999642e+02,6.579101000000000568e+02,1.635161100000000033e+03,9.741263000000000147e+02,6.499215000000000373e+02,3.264112700000000132e+03,3.255943600000000060e+03,1.054560999999999922e+03,1.025337899999999991e+03,5.837268000000000256e+02,6.034869999999999663e+02,1.029999399999999923e+03,1.043393900000000031e+03,5.975602000000000089e+02,5.879900999999999840e+02
1.656294200000000046e+03,9.859437000000000353e+02,6.437722999999999729e+02,1.648026599999999917e+03,9.968212999999999511e+02,6.341182999999999765e+02,3.242603000000000065e+03,3.318373399999999947e+03,1.047368199999999888e+03,1.017856800000000021e+03,5.799532000000000380e+02,6.004248000000000047e+02,1.036236799999999903e+03,1.052240399999999909e+03,6.234519999999999982e+02,6.094442000000000235e+02
1.676624000000000024e+03,1.007591900000000010e+03,6.282367000000000417e+02,1.657025200000000041e+03,1.026751999999999953e+03,6.202164000000000215e+02,3.220801399999999830e+03,3.391644800000000032e+03,1.039777700000000095e+03,1.010398699999999963e+03,5.762025999999999613e+02,5.974224000000000387e+02,1.051847600000000057e+03,1.057831200000000081e+03,6.456246999999999616e+02,6.393413000000000466e+02
1.694789800000000014e+03,1.034715500000000020e+03,6.110230000000000246e+02,1.670944400000000087e+03,1.056217399999999998e+03,6.057958999999999605e+02,3.195606600000000071e+03,3.473879399999999805e+03,1.031484799999999950e+03,1.001586800000000039e+03,5.722922999999999547e+02,5.932427000000000135e+02,1.065416899999999941e+03,1.069268100000000004e+03,6.723342999999999847e+02,6.698600999999999885e+02
1.712608899999999949e+03,1.063644999999999982e+03,5.957291000000000167e+02,1.683271400000000085e+03,1.085173800000000028e+03,5.932092999999999847e+02,3.163844399999999951e+03,3.565793099999999868e+03,1.022100199999999973e+03,9.901889999999999645e+02,5.659868000000000166e+02,5.885683999999999969e+02,1.081638999999999896e+03,1.081841899999999896e+03,7.032569999999999482e+02,7.020552000000000135e+02
1.734193800000000010e+03,1.089758900000000040e+03,5.804942999999999529e+02,1.692116099999999960e+03,1.119214199999999892e+03,5.803772999999999911e+02,3.136503400000000056e+03,3.655651199999999790e+03,1.014767299999999977e+03,9.791905000000000427e+02,5.608284999999999627e+02,5.847170999999999594e+02,1.099276399999999967e+03,1.091306499999999915e+03,7.305747999999999820e+02,7.374935000000000400e+02
1.752177599999999984e+03,1.118517800000000079e+03,5.678404000000000451e+02,1.702655099999999948e+03,1.155553699999999935e+03,5.662400999999999840e+02,3.099007799999999861e+03,3.759976900000000114e+03,1.003376099999999951e+03,9.661363999999999805e+02,5.524850999999999885e+02,5.800102000000000544e+02,1.120346399999999903e+03,1.103679200000000037e+03,7.633282000000000380e+02,7.756231000000000222e+02
